"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"L-Pipecolic acid",-0.042998,0.0024402,0.040653,0.024496,0.038309,0.039108,-0.025423,0.10916,0.084744,-0.10707,-0.075113,0.14521,-0.14427,0.14813,-0.017183,0.039607,-0.14046,-0.0073059,-0.07357,0.042838
"5-Hydroxyindoleacetic acid",0.062495,0.032136,-0.017769,-0.02073,0.037075,-0.012309,0.09244,0.16805,-0.062526,0.044121,0.040715,0.0026786,0.05512,0.030974,0.038281,0.083474,0.11502,0.10567,-0.029848,-0.021571
"Pseudouridine",0.0569,0.016326,0.011515,0.05409,-0.072705,-0.087946,-0.063632,-0.018251,0.091565,0.058424,-0.17304,-0.020372,-0.042692,-0.058572,0.094942,-0.030917,0.085694,0.024031,0.039134,-0.0035339
"Octanoylcarnitine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Pelargonic acid",-0.065477,0.12523,0.044339,0.0057572,-0.013327,0.0040633,-0.0018155,-0.018081,-0.013603,0.1105,0.021584,0.068543,-0.00051962,-0.026025,0.072124,-0.029075,-0.063197,0.065253,-0.020101,0.001315
"Histamine",0.045945,0.0029647,-0.018698,-0.029729,0.055637,0.058523,0.11439,-0.11474,0.10147,-0.083271,-0.13883,0.048559,0.019892,-0.10687,0.064118,-0.10161,-0.065912,0.014709,-0.018423,0.014637
"Acetylcholine",0.0012814,0.025962,0.015775,-0.11678,0.047692,0.051932,0.028031,0.13705,0.11711,0.063175,0.14516,0.038039,-0.004488,0.066458,-0.13383,-0.083632,0.11759,-0.0051688,0.0664,-0.0015308
"7-Methylguanine",0.040638,0.023475,-0.028825,-0.067185,0.064892,0.065102,-0.039988,0.18809,-0.034765,0.098443,-0.030623,-0.050926,0.087173,0.037551,-0.0085001,0.055788,0.16072,0.032704,-0.019504,-0.015588
"Androstanedione",-0.022267,-0.093136,0.034031,0.0079183,0.00057181,0.067096,0.028997,-0.036917,-0.039166,-0.099916,-0.0094708,-0.088578,-0.067429,-0.014488,-0.12796,0.048787,0.22763,0.0095207,0.2991,-0.023281
"Citrulline",-0.018507,0.052373,-0.096768,-0.15474,-0.11018,-0.038825,0.066216,0.0018597,-0.0032249,-0.0035626,0.019458,-0.028203,0.0048026,0.0133,-0.05762,0.018552,0.037597,0.013392,0.030516,-0.025114
"Behenic acid",0.020812,-0.020054,-0.042664,-0.06964,0.055231,-0.079448,0.10922,0.085705,0.051983,0.18818,-0.0053009,0.11506,-0.078106,0.11562,0.05097,-0.066216,0.035214,-0.052207,0.008376,0.0040401
"Trehalose",-0.021879,-0.049134,-0.010874,-0.021391,-0.033418,0.0097674,0.052347,0.03032,-0.088409,0.21736,-0.010144,0.01847,-0.16672,-0.064889,0.047017,-0.13398,0.098424,-0.10643,-0.19935,0.0044134
"DL-2-Aminooctanoic acid",0.035345,-0.053821,-0.0063262,-0.023609,0.0014008,0.045792,0.091329,0.12576,0.046599,0.17538,-0.049733,-0.073197,0.00091443,-0.10312,-0.043008,0.14265,-0.1466,0.094742,-0.043697,0.0002538
"Biliverdin",-0.029505,-0.011915,-0.051235,-0.17943,-0.10997,-0.048791,0.012205,0.038502,0.01528,-0.026253,0.017991,-0.038181,-0.039492,-0.00034461,0.064474,0.021546,-0.029279,-0.025803,-0.02579,0.0039561
"gamma-Glutamylcysteine",0.0549,-0.01324,0.0050253,0.053974,-0.13384,0.063793,-0.064075,-0.041237,-0.017327,0.0033633,0.020936,-0.0019601,0.036174,-0.1729,0.041423,-0.0061765,-0.068489,-0.15458,0.070534,0.0017931
"2-Phenylaminoadenosine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Spermidine",-0.052163,0.13267,0.069558,0.014,0.037436,0.011451,-0.017215,0.02141,0.050217,-0.083914,0.0069185,0.049628,-0.031202,0.031813,-0.060786,-0.069387,0.10154,0.047822,0.10413,0.011068
"N6,N6,N6-Trimethyl-L-lysine",-0.024331,0.0092525,-0.044941,0.0010166,-0.0045465,0.14524,0.067283,0.12543,-0.1297,-0.10823,-0.046546,0.046879,0.073721,-0.095822,0.023975,-0.049739,-0.030603,0.1736,-0.058855,0.001689
"Pyridoxamine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"3-Hydroxyanthranilic acid",0.042792,0.0014073,-0.078009,0.099359,-0.040932,-0.010121,-0.064554,0.029679,0.061196,-0.049393,0.068566,-0.044522,0.054232,-0.014627,-0.21849,0.0045188,0.14212,-0.027803,0.11991,-0.052044
"Nicotinic acid",-0.061216,0.046348,-0.071197,0.0568,0.045029,-0.020272,-0.0042737,0.010681,0.023793,-0.018364,0.076162,-0.12623,0.042942,0.063426,0.19766,-0.06433,-0.042627,-0.056479,-0.038192,-0.00044779
"N-Acetyllactosamine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Glucose 1-phosphate",-0.036438,0.142,0.021793,0.043311,0.086105,-0.021464,0.058535,0.053467,0.020721,-0.006086,-0.04489,-0.12894,-0.083847,0.01184,0.038028,-0.053008,0.0046434,-0.055915,-0.053448,0.027521
"L-Norleucine",-0.0079218,0.023991,-0.06488,-0.12699,-0.0079959,0.15626,0.026903,-0.10622,0.056253,-0.012779,-0.088511,0.036388,-0.015485,0.07368,0.0068903,0.086425,0.01792,-0.1197,-0.018595,0.00061078
"Acetone",-0.0063688,0.012141,-0.12572,-0.046161,-0.13439,-0.051001,-0.037298,-0.047243,0.049641,0.0064391,0.031875,0.11992,0.019491,-0.031593,0.032631,0.13478,-0.057025,0.062925,0.16234,-0.026793
"Ethenodeoxyadenosine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Guanidine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"all-trans-Retinoic acid",-0.075632,0.10977,-0.065754,0.03442,0.015147,-0.019638,-0.0022333,-0.033192,-0.007613,0.045162,0.021783,0.036518,-0.014028,-0.017736,0.035124,-0.0078592,-0.024413,0.018764,0.0054897,0.0037119
"2-Ethylacrylic acid",-0.038303,0.024492,0.09181,0.007043,0.042917,-9.8785e-05,-0.023402,0.033285,0.075942,-0.10595,-0.084454,0.23256,-0.022519,-0.012077,-0.063378,0.13875,0.03795,0.03955,-0.096206,0.015236
"17a-Ethynylestradiol",-0.053395,0.15765,0.01982,0.022979,0.02953,0.0045239,0.058484,-1.8839e-05,-0.049641,0.0081821,0.0076497,-0.093059,-0.026847,0.022378,0.035181,-0.03077,0.0038865,-0.023935,-0.023808,0.016463
"3,7-Dimethyluric acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"7-Methylxanthine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"Eicosapentaenoic acid",-0.060108,-0.047189,-0.10996,-0.011933,-0.065054,-0.029875,0.0070809,-0.083783,-0.029891,0.1303,0.077779,0.043692,0.0026315,0.014174,0.013506,-0.040953,-0.049415,-0.017052,-0.014931,-0.0066493
"Imidazoleacetic acid",0.056339,0.027465,-0.0017885,0.069494,-0.11584,-0.023014,-0.13559,-0.02044,-0.050607,-0.033972,-0.124,-0.020523,0.030346,0.028734,-0.027018,-0.063615,-0.01064,0.023809,-0.033787,-0.019238
"2-Pyrrolidinone",-0.040112,0.17398,0.016526,-0.041413,-0.019243,-0.016074,0.026758,0.048205,-0.035556,-0.084585,-0.024627,-0.039944,-0.020332,0.014728,-0.013776,-0.0027963,-0.025573,-0.018464,0.018818,0.021184
"3-Indolebutyric acid",-0.0082991,-0.024874,-0.17281,0.076476,0.089476,-0.069876,-0.042684,0.033746,0.014204,0.012734,-0.020821,-0.040611,-0.017492,0.0099786,-0.011773,0.064706,0.050385,-0.036675,-0.0098799,-0.025259
"1,3,7-Trimethyluric acid",-0.02803,-0.019032,-0.16974,0.086829,0.084491,-0.062286,-0.035656,-0.0077022,0.0023384,-0.028104,-0.012543,-0.025473,-0.012969,0.020896,-0.013921,0.014531,0.0089482,-0.010703,-0.0013611,-0.021628
"N8-Acetylspermidine",-0.0038183,-0.00033047,-0.15905,-0.012562,0.090517,0.12659,-0.033075,-0.039851,-0.029719,-0.081535,-0.01097,0.08237,-0.0034453,0.05536,0.013756,-0.025309,-0.027205,-0.019603,0.045843,-0.012973
"2-Phenylglycine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0030598
"3,4-Dimethylbenzoic acid",-0.060076,0.13913,-0.053095,0.038691,0.011054,-0.03646,-0.0027786,-0.02481,0.005876,0.071153,0.0065686,0.048808,-0.032011,0.020705,0.072655,0.0088988,-0.030663,0.062632,0.027713,0.0097384
"7,8-Dihydroneopterin",0.073505,0.04055,-0.028181,0.037077,-0.070722,0.062615,-0.059904,-0.00078378,-0.04819,-0.034264,0.12265,-0.01948,-0.0090145,0.025908,-0.11196,0.0046828,-0.079797,0.023312,-0.06969,0.010895
"Terephthalic acid",-0.040424,0.050578,-0.073038,-0.14821,-0.11993,-0.041587,0.018224,-0.0067599,0.013066,-0.0077873,0.011633,-0.00081502,0.05763,-0.016534,0.0069311,0.0096554,0.058756,-0.0072149,0.021344,-0.02148
"Nandrolone",-0.02808,0.12575,-0.0097876,0.042956,0.028743,0.023329,0.067428,-0.0024488,-0.16071,0.034693,0.0073057,-0.13745,-0.075144,0.085134,0.0045699,-0.096865,-0.0072895,0.075772,-0.065548,0.020094
"Cortisone",-0.053931,-0.065043,0.028265,0.019021,-0.035734,0.035313,-0.033673,0.027478,0.066779,-0.11161,0.13535,-0.089378,0.098679,0.022644,0.18831,-0.012176,0.042693,-0.079617,0.023827,-0.0091956
"Methylimidazoleacetic acid",-0.044385,0.019334,0.078981,0.063518,-0.0030709,0.0028884,-0.023934,-0.066102,-0.01791,0.14943,-0.040552,-0.0096143,0.20795,-0.030818,-0.0632,0.045974,-0.16171,0.040418,0.073848,-0.017353
"Palmitoleic acid",-0.061754,0.14779,0.0079709,0.034711,0.042616,0.0030269,0.019135,0.0032369,-0.015929,0.0094494,-0.01071,-0.069733,-0.048958,0.028448,0.057642,-0.035549,-0.050398,-0.01225,-0.0088747,0.025897
"Nicotinuric acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0030598
"1-Methyladenosine",0.080891,0.023482,0.0063449,0.013354,0.0099981,-0.088756,0.11667,0.013957,0.069346,0.032878,-0.023734,0.0063796,0.012007,0.0099114,0.05357,0.037444,0.070648,0.017243,-0.013941,-0.0068377
"Symmetric dimethylarginine",-0.038048,-0.035997,-0.17095,0.061479,0.067141,-0.062143,-0.012741,-0.0050513,0.0098731,-0.023994,-0.03229,0.029629,-0.048403,-0.003158,-0.005908,-0.0082467,0.021781,-0.020246,-0.056941,-0.016766
"5-Aminopentanoic acid",-0.039245,0.1176,0.044629,-0.042717,-0.079853,-0.069162,-0.0006788,-0.0027451,0.05284,0.017887,-0.088351,0.028672,0.064578,0.089553,-0.11429,0.026356,-0.17097,-0.0054247,0.024627,0.021846
"Pyrimidine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Diacetyl",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"D-Proline",-0.037625,0.074854,-0.049339,-0.14239,-0.11936,-0.044582,0.047045,0.0029144,-0.008384,0.0001162,-0.024653,-0.084168,-0.030565,-0.0033882,-0.027538,2.6936e-05,0.0047976,-0.013787,0.020937,0.0031682
"L-Histidinol",-0.049647,0.097294,0.066789,0.025475,0.033784,0.020381,-0.050989,-0.00080105,0.065149,-0.019425,0.016227,0.21041,0.09659,-0.020562,-0.039289,0.060036,0.050644,0.054382,0.0079441,-0.012957
"4-Guanidinobutanoic acid",-0.027669,0.13559,0.076124,-0.043543,0.12237,-0.032416,-0.069997,0.034366,-0.0025841,-0.057816,0.038947,0.028506,0.0082817,-0.016776,0.0079657,0.040237,0.024176,0.005253,0.013407,0.004807
"4-Acetamidobutanoic acid",-0.039875,0.14594,0.068688,-0.0065477,0.10663,-0.014894,-0.060338,0.019886,0.0032769,-0.069896,0.018764,-0.0086487,-0.012404,-0.0086487,0.010394,0.03588,0.0041495,-0.0030971,0.0067476,0.017688
"Gamma-Caprolactone",0.055941,0.036309,-0.028767,0.037278,-0.051174,0.068622,0.016291,0.040118,-0.078657,-0.071888,-0.00771,0.046584,0.10924,0.017636,-0.1058,-0.080179,-0.12559,-0.26678,0.044092,0.012799
"5-Methoxytryptamine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0030598
"Enterolactone",-0.011131,-0.11109,0.1112,0.027822,0.010704,-0.01931,0.033868,-0.074458,-0.15705,0.098347,-0.013162,-0.087452,0.0029408,0.037831,-0.071493,0.06675,0.0025698,0.0021506,0.030034,-0.030087
"Phenylacetaldehyde",-0.045747,0.065944,-0.066003,-0.14336,-0.11134,-0.047623,0.030461,0.0033592,0.014745,-0.017271,-0.0068512,-0.028981,0.0043535,0.012362,-0.0064666,-0.0051921,0.017092,-0.0051598,0.02414,0.0030315
"beta-Tocopherol",-0.014779,-0.022044,0.047335,0.027043,0.013858,-0.15844,0.17284,-0.081907,-0.019275,-0.10424,-0.035344,0.040966,0.085438,0.091011,0.0009563,-0.0075887,-0.029129,0.0068327,-0.075772,-0.0053769
"Stearidonic acid",0.010816,-0.057364,0.066566,-0.012595,0.026595,-0.10237,0.11715,-0.10813,-0.13506,0.016541,0.12308,0.016017,-0.049526,0.13725,-0.033048,-0.09997,0.061298,-0.019721,0.0042744,-0.0047943
"LysoPE(16:0/0:0)",0.045198,-0.013083,0.021353,0.030312,-0.017991,-0.037283,0.13189,0.01136,0.026686,-0.032849,-0.084156,0.031899,0.0068473,-0.22884,-0.030672,-0.21096,-0.11367,-0.07223,0.0089935,0.023425
"MG(0:0/16:0/0:0)",-0.030006,0.12071,0.05884,-0.0032328,0.036809,0.13346,0.054787,-0.0049716,0.038184,0.11237,-0.057873,-0.0097168,-0.062061,0.032069,0.052742,0.10431,0.020554,-0.087678,-0.044884,0.025096
"3-Methyladenine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"4-Hydroxybenzaldehyde",0.06026,0.047028,-0.033552,0.057689,-0.070715,0.038586,0.050519,0.11279,-0.1292,-0.037423,0.075252,0.074494,-0.004101,-0.042518,0.022834,8.0981e-05,-0.074627,-0.038534,0.074557,0.017385
"Phenylethylamine",-0.052418,-0.026022,0.038791,-0.010495,0.033338,-0.096751,0.029472,-0.12057,-0.028899,0.039817,0.12412,0.054528,-0.10258,0.13261,0.073212,0.07648,-0.044278,-0.086105,0.13041,0.013964
"N-Acetylhistamine",0.027094,-0.01492,-0.030466,-0.055152,0.10865,0.10211,0.084494,-0.1254,0.072553,0.0019352,-0.13679,-0.0016622,0.097041,-0.079823,0.00087314,-0.03439,-0.1129,0.068405,-0.0020044,-0.014099
"Alpha-Linolenoyl ethanolamide",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Palmitoleoylethanolamde",-0.033409,0.018976,0.017748,0.020744,0.022283,-0.063045,-0.024747,-0.078692,-0.0075797,0.049902,0.049308,0.30037,0.11006,-0.010996,-0.12662,-0.048809,0.071486,-0.0076161,-0.071671,-0.035585
"1,3,5-Trihydroxybenzene",0.020993,-0.054052,0.0076035,-0.0019898,-0.010197,0.066586,0.039675,0.1748,0.025015,0.093123,-0.064225,0.12001,-0.22073,0.078648,0.061753,0.012763,0.035593,-0.06355,-0.072042,0.046547
"N-Acetyltryptophan",-0.027086,-0.021622,-0.17345,0.081567,0.084005,-0.063799,-0.030134,-0.0067812,0.0034891,-0.027341,-0.0056713,-0.019981,-0.0050306,0.016226,-0.010957,0.016954,0.0023437,-0.0079185,0.0018591,-0.034408
"Norvaline",-0.047956,0.061803,-0.050181,-0.12943,-0.12271,-0.047097,-0.0041969,0.010001,0.047234,-0.0021148,0.0083064,0.047271,0.086396,0.019638,-0.0034815,0.0095159,0.028423,0.01476,0.022168,-0.017022
"Diisobutyl phthalate",-0.07436,0.10432,-0.067298,0.038341,0.016644,-0.036999,-0.0039801,-0.012173,-0.0091951,0.069543,0.007923,0.020339,-0.011077,0.012362,0.055273,-0.0042257,-0.056203,0.039095,0.010856,-0.0012455
"Mesalazine",0.024363,-0.032707,-0.070021,0.10988,0.01281,-0.04953,0.0023023,0.17393,0.11444,-0.062636,0.0014802,-0.041727,-0.00013886,0.1011,0.12356,-0.0063381,0.016532,-0.035444,-0.050855,-0.0060311
"Prednisolone",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Alanylisoleucine",-0.026761,0.019893,-0.10671,-0.16514,-0.078617,0.02346,0.034234,-0.04545,-0.017262,0.022871,-0.004271,-0.038175,-0.012053,0.024972,-0.036825,-0.065319,0.069267,-0.035295,0.046675,-0.0074731
"Alanylvaline",0.02655,-0.013887,-0.064896,-0.11808,-0.01998,0.16392,0.06181,-0.030142,-0.082093,0.0075045,-0.013653,-0.043858,0.017748,0.025698,-0.064266,-0.051835,0.10778,0.053267,0.13837,-0.0031205
"Isoleucyl-Aspartate",-0.04102,-0.015056,-0.15258,-0.0059823,-0.014796,-0.073016,-0.051778,-0.06461,0.005874,0.086976,0.066393,0.023554,-0.061615,0.077238,0.10395,0.035332,-0.053049,0.029033,0.050921,-0.0025696
"Isoleucyl-Glutamine",0.068471,0.02629,-0.020595,0.073235,-0.10513,0.012628,-0.10051,0.039503,-0.049801,0.053492,-0.047138,-0.0057584,-0.08213,-0.014577,0.050777,0.031994,0.05855,0.011287,0.019891,-0.0053193
"Isoleucyl-Isoleucine",0.048661,0.012401,-0.060738,-0.093928,0.081648,0.16815,-0.016768,-0.036921,-0.031427,0.027408,-0.039424,0.015221,0.042513,0.039952,-0.0027133,-0.0315,-0.0059087,-0.035209,0.064763,0.010058
"Leucylleucine",0.033508,0.0073308,-0.075567,-0.04018,0.063215,0.20238,-0.019658,-0.088144,-0.025105,0.0054766,-0.067614,0.030025,0.053796,0.06689,0.008058,-0.030047,-0.051185,-0.0094071,0.025088,0.0095739
"Piperine",0.024365,-0.013181,0.027261,-0.11676,0.13374,-0.095599,-0.091755,-0.028751,-0.097424,-0.020562,0.074341,0.022217,-0.062546,-0.050383,0.045556,0.0017902,-0.051632,0.071805,0.041925,0.00092705
"Indole-3-carboxaldehyde",-0.051112,-0.013746,0.050303,0.024199,-0.010032,0.015172,-0.051505,-0.019658,-0.037212,0.018813,-0.13127,-0.11933,0.059752,-0.052667,0.032269,0.2815,-0.13408,-0.024861,-0.094335,0.0042528
"Methyl nicotinate",-0.092626,-0.039361,0.022281,0.0077483,-0.0041459,-0.0098804,-0.014761,-0.054472,0.072641,0.036307,-0.023702,-0.028252,-0.018644,0.032704,-0.0069254,0.0097894,0.031249,-0.048882,0.012337,0.0042892
"beta-D-Glucosamine",-0.00040715,-0.049226,-0.042057,0.017446,0.032284,-0.012712,0.023343,0.22749,0.1392,0.091408,-0.024321,0.036047,-0.033138,0.14116,-0.075422,-0.015181,-0.028696,0.063772,0.051708,0.033682
"(E)-Piperolein A",-0.037768,0.11715,-0.046106,-0.007193,0.041244,-0.067887,-0.033586,0.063856,0.011184,0.19906,-0.0097299,-0.010221,0.047239,0.013825,0.098308,0.023993,0.055534,0.014164,0.0574,-0.012572
"(S)-Laudanosine",-0.0013334,-0.025322,0.038312,-0.11424,0.12792,-0.12361,-0.12797,0.054618,-0.048959,0.024931,-0.04125,-0.032833,0.021444,-0.060808,0.0052342,-0.016853,0.049024,-0.00909,0.020573,-0.0045378
"Hydrocinchonine",-0.0048955,-0.015648,0.028003,0.02505,-0.0074878,-0.098501,0.13448,-0.11738,-0.065965,-0.02184,0.008958,0.12258,0.016075,0.1367,0.063845,0.21554,0.046206,0.10923,-0.1415,-0.020833
"(S)-2-Propylpiperidine",-0.03125,0.12918,0.071562,-0.039399,0.1246,-0.022149,-0.077435,0.033885,-0.00089218,-0.074822,0.049216,0.016692,0.021475,-0.016393,0.032102,0.034141,0.023587,0.005841,0.017341,0.010712
"Harmine",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.00030645
"2(3H)-Benzothiazolethione",0.061107,0.06035,-0.02515,0.0016899,0.036276,-0.041007,0.11664,0.09238,-0.1389,-0.026225,0.017774,0.060198,0.071821,0.078027,0.028447,0.010961,-0.058148,-0.022604,0.037853,0.007127
"2-Ethoxyethanol",-0.059423,0.082957,-0.059303,-0.11151,-0.074442,-0.025465,-0.020837,0.016302,0.03876,-0.027483,0.0037602,0.079504,0.058932,0.013499,0.02321,0.04595,0.069641,-0.0081184,-0.030903,-0.013849
"Cyclamic acid",-0.089253,-0.029002,0.014465,0.047604,-0.064248,-0.009936,-0.050194,0.0034545,0.0033255,-0.0083748,0.018082,-0.019677,-0.061005,-0.065047,-0.0021796,-0.001822,-0.0072009,0.075492,-0.010646,-0.00095687
"Pyrrolidine",-0.04456,0.11245,-0.03053,-0.10849,-0.10208,-0.013074,0.016772,0.04488,-0.0035268,-0.064167,0.0083151,0.044575,0.095683,0.013338,0.040727,-0.010499,0.017548,0.040981,0.017042,0.00070125
"4'-Methoxyacetophenone",-0.041981,-0.057685,-0.16499,0.011994,0.046473,-0.06893,0.039595,-0.058368,-0.0082503,0.044364,-0.02617,-0.0037042,-0.002012,-0.018543,0.0028102,-0.024371,-0.036176,0.072999,-0.040989,-0.016384
"Jasmonic acid",-0.046634,-0.020893,-0.0154,-0.13211,-0.11943,-0.00072791,-0.083835,-0.073023,0.049531,-0.00063959,0.068741,0.070556,0.010624,-0.024794,0.046456,-0.0040694,0.047521,0.024298,0.063566,-0.012155
"beta-Solanine",-0.053719,0.057325,0.0091236,0.044404,0.032579,0.0058698,-0.0076203,-0.021832,-0.038767,0.13973,0.030858,0.17635,0.042533,-0.062327,-0.041122,-0.1377,0.17097,-0.027601,-0.10786,-0.018383
"Soyasapogenol C",0.051441,-0.017329,0.012946,-0.088334,0.13112,-0.072786,0.056676,0.064653,0.073049,0.027297,-0.051476,-0.016958,0.019917,-0.1331,0.014194,-0.026878,0.074311,0.052872,-0.012694,-0.018839
"Paullinic acid",-0.035851,0.14234,0.033536,0.053731,0.059375,0.01825,0.077545,0.0020831,-0.061091,-0.019018,0.0067346,-0.13461,-0.081178,0.05224,0.05206,-0.059532,-0.021917,-0.010982,-0.018156,0.01378
"(-)-Menthone",-0.057241,0.042169,-0.099701,0.016849,0.014135,-0.046294,0.039198,0.021949,-0.016936,0.16623,0.0075215,0.05102,0.11031,-0.037627,-0.0084925,0.11245,-0.091698,0.046372,0.026758,-0.011749
"Salsolinol",-0.031996,0.014886,-0.04492,0.031802,-0.044828,0.1457,0.024469,0.012584,-0.089982,0.013956,-0.03124,0.10519,-0.1145,-0.031416,0.20921,0.0097336,-0.021897,0.11782,0.16612,0.024165
"Isonicotinic acid",0.065928,0.047143,-0.047333,0.028276,-0.040517,0.085648,0.041106,0.16459,-0.027136,0.043438,0.027936,0.010648,0.0054611,-0.063883,0.028058,0.032198,0.052285,0.037637,0.022269,-0.0080774
"DOPA",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Flavin mononucleotide",0.032002,0.014747,-0.038621,-0.0096725,-0.01021,0.15864,-0.02575,-0.094597,0.11399,0.00088424,0.13411,-0.073882,-0.042186,0.021069,-0.13085,0.025689,-0.03763,0.1124,-0.15398,0.0054991
"p-Synephrine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Cyromazine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Octanol",0.021731,-0.013541,0.022298,-0.12776,0.14065,-0.071358,-0.11414,0.0040079,-0.095949,-0.021864,0.067388,-0.00031011,-0.021376,-0.056649,-0.0075328,-0.011891,-0.046007,0.033512,0.015546,-0.00035016
"N-Acetylputrescine",0.017014,-0.015393,0.02307,-0.12874,0.1419,-0.07127,-0.11516,0.0049815,-0.097479,-0.022422,0.067755,-0.00051339,-0.021319,-0.057669,-0.0078128,-0.012024,-0.046057,0.033914,0.01595,-0.0074202
"N-Acetyl-Leu",0.031204,-0.0094484,0.027644,-0.11872,0.13433,-0.0984,-0.097177,0.0072714,-0.096165,-0.0062047,0.087576,-0.0030461,-0.014805,-0.013103,-0.013622,0.012638,-0.029419,0.015106,0.015012,-0.0168
