"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"5'-Methylthioadenosine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Aminoadipic acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Cortexolone",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"N-Acetyl-L-tyrosine",0.049444,0.011921,-0.015758,-0.048989,0.071317,-0.025313,-0.1488,0.14272
"Glycylvaline",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Deoxyguanosine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Maltol",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Chenodeoxycholic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Cer(d18:0/18:0)",-0.0082008,-0.041518,-0.0017659,0.071341,-0.1277,0.080738,-0.0085285,-0.029397
"Monoethylhexyl phthalic acid",-0.072067,0.12076,0.018302,0.027754,0.0577,0.0022429,0.010143,-0.037679
"Methylguanidine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Temazepam",-0.077268,0.12724,-0.0097493,0.0077616,-0.0052053,0.026611,0.0060149,0.028668
"Piplartine",-0.065308,0.058006,0.093429,-0.032432,0.039809,-0.049196,0.069286,-0.03788
"Leucylalanine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Prolylhydroxyproline",-0.0063265,-0.0057894,-0.044032,-0.059937,0.1058,0.0057645,-0.1663,0.15681
"Deoxyinosine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Deoxyadenosine",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"2,6-Dimethylaniline",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Leucyl-Glycine",-0.0012396,-0.00277,-0.25323,-0.024873,0.14217,-0.031825,0.013249,0.010228
"Stearic acid",0.0087508,0.0090447,-0.057883,0.06029,-0.15442,0.027795,-0.0047516,-0.017221
"p-Anisidine",-0.071928,0.13743,0.0013495,0.013466,0.027121,-0.017302,0.056094,-0.056119
